일자,방문인원수,counterfactual_visitors,difference
2022-05-15,13663,18657,4994
2022-05-16,3881,5978,2097
2022-05-17,4384,6241,1857
2022-05-18,3217,4793,1576
2022-05-19,5872,6692,820
2022-05-20,11668,7003,-4665
2022-05-21,15593,18347,2754
2022-05-22,15974,18532,2558
2022-05-23,4327,5178,851
2022-05-24,5103,5717,614
2022-05-25,5800,4352,-1448
2022-05-26,6660,7515,855
2022-05-27,7146,8297,1151
2022-05-28,36225,25356,-10869
2022-05-29,15590,24267,8677
2022-05-30,3877,9381,5504
2022-05-31,6274,9688,3414
2022-06-01,17053,6843,-10210
2022-06-02,4831,8068,3237
2022-06-03,4426,8250,3824
2022-06-04,12333,16980,4647
2022-06-05,16564,20509,3945
2022-06-06,9282,18270,8988
2022-06-07,3572,7688,4116
2022-06-08,3123,8168,5045
2022-06-09,2045,5564,3519
2022-06-10,3588,6741,3153
2022-06-11,8456,16230,7774
2022-06-12,8738,16107,7369
2022-06-13,4221,1213,-3008
2022-06-14,2084,3644,1560
2022-06-15,829,1536,707
2022-06-16,2084,3495,1411
2022-06-17,2456,3456,1000
2022-06-18,6082,10478,4396
